==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
==============================================================================
      0.0002  0.20E-03  C  16 V0=0.43E-03     0.18s       0.40s       0.00s   
      0.0004  0.20E-03  C  11 V2=0.49E-03     0.06s       0.47s      12.92h   
      0.0006  0.20E-03  C  11 V2=0.33E-03     0.15s       0.61s       8.52h   
      0.0008  0.20E-03  C  11 V2=0.25E-03     0.07s       0.68s       6.31h   
      0.0010  0.20E-03  C  14 V1=0.30E-03     0.09s       0.78s       5.39h   
      0.0012  0.22E-03  C  12 V1=0.22E-03     0.08s       0.86s       4.76h   
      0.0014  0.22E-03  C  11 V1=0.16E-03     0.16s       1.02s       4.70h   
      0.0016  0.22E-03  C  10 V1=0.27E-03     0.07s       1.09s       4.25h   
      0.0019  0.22E-03  C  11 V1=0.29E-03     0.08s       1.16s       3.93h   
      0.0021  0.22E-03  C  11 V1=0.27E-03     0.08s       1.24s       3.69h   
      0.0023  0.22E-03  C  11 V1=0.25E-03     0.07s       1.31s       3.49h   
      0.0026  0.25E-03  C  11 V1=0.25E-03     0.07s       1.39s       3.34h   
      0.0028  0.25E-03  C  11 V1=0.25E-03     0.07s       1.46s       3.21h   
      0.0030  0.25E-03  C  11 V1=0.25E-03     0.07s       1.54s       3.07h   
      0.0033  0.25E-03  C  10 V1=0.31E-03     0.15s       1.69s       3.10h   
      0.0035  0.25E-03  C  10 V1=0.29E-03     0.07s       1.76s       2.98h   
      0.0038  0.25E-03  C  10 V1=0.27E-03     0.07s       1.82s       2.88h   
      0.0040  0.27E-03  C  10 U1=0.26E-03     0.07s       1.89s       2.79h   
      0.0043  0.27E-03  C  10 U1=0.27E-03     0.07s       1.96s       2.72h   
      0.0046  0.27E-03  C  10 U1=0.28E-03     0.07s       2.03s       2.63h   
      0.0048  0.27E-03  C  10 U1=0.28E-03     0.07s       2.10s       2.56h   
      0.0051  0.27E-03  C  10 U1=0.28E-03     0.07s       2.17s       2.49h   
      0.0054  0.27E-03  C  10 U1=0.28E-03     0.07s       2.24s       2.43h   
      0.0057  0.30E-03  C  10 U1=0.27E-03     0.07s       2.31s       2.38h   
      0.0060  0.30E-03  C  10 U1=0.30E-03     0.07s       2.37s       2.33h   
      0.0063  0.30E-03  C  10 U1=0.30E-03     0.07s       2.44s       2.27h   
      0.0066  0.30E-03  C  10 U1=0.29E-03     0.07s       2.51s       2.22h   
      0.0069  0.30E-03  C  10 U1=0.28E-03     0.07s       2.58s       2.18h   
      0.0072  0.30E-03  C  10 U1=0.27E-03     0.07s       2.65s       2.14h   
      0.0075  0.34E-03  C  10 U1=0.26E-03     0.07s       2.72s       2.10h   
      0.0078  0.34E-03  C  10 U1=0.30E-03     0.15s       2.87s       2.13h   
      0.0082  0.34E-03  C  10 U1=0.29E-03     0.07s       2.94s       2.08h   
      0.0085  0.34E-03  C  10 P0=0.29E-03     0.07s       3.01s       2.05h   
      0.0088  0.34E-03  C  10 P0=0.28E-03     0.07s       3.08s       2.01h   
      0.0092  0.34E-03  C  10 P0=0.28E-03     0.07s       3.15s       1.98h   
      0.0096  0.38E-03  C  10 P0=0.27E-03     0.07s       3.21s       1.94h   
      0.0099  0.38E-03  C  11 P0=0.17E-03     0.08s       3.29s       1.92h   
      0.0103  0.38E-03  C  11 P0=0.18E-03     0.08s       3.37s       1.89h   
      0.0107  0.38E-03  C  11 P0=0.17E-03     0.08s       3.44s       1.86h   
      0.0110  0.38E-03  C  10 P0=0.31E-03     0.07s       3.51s       1.83h   
      0.0114  0.38E-03  C  10 P0=0.30E-03     0.07s       3.58s       1.80h   
      0.0118  0.42E-03  C  10 P0=0.30E-03     0.07s       3.65s       1.78h   
      0.0122  0.42E-03  C  11 P0=0.19E-03     0.08s       3.73s       1.76h   
      0.0126  0.42E-03  C  11 P0=0.19E-03     0.08s       3.80s       1.73h   
      0.0130  0.42E-03  C  11 P0=0.19E-03     0.08s       3.88s       1.71h   
      0.0135  0.42E-03  C  11 P0=0.19E-03     0.08s       3.96s       1.69h   
      0.0139  0.42E-03  C  11 P0=0.19E-03     0.08s       4.03s       1.66h   
      0.0143  0.46E-03  C  11 P0=0.18E-03     0.08s       4.11s       1.64h   
      0.0148  0.46E-03  C  11 P0=0.21E-03     0.08s       4.18s       1.63h   
      0.0152  0.46E-03  C  11 P0=0.21E-03     0.08s       4.26s       1.60h   
      0.0157  0.46E-03  C  11 P0=0.21E-03     0.08s       4.34s       1.58h   
      0.0161  0.46E-03  C  11 P0=0.21E-03     0.08s       4.41s       1.56h   
      0.0166  0.46E-03  C  11 P0=0.21E-03     0.08s       4.49s       1.54h   
      0.0171  0.52E-03  C  11 P0=0.20E-03     0.08s       4.56s       1.52h   
      0.0176  0.52E-03  C  11 V1=0.25E-03     0.08s       4.64s       1.51h   
      0.0181  0.52E-03  C  11 V1=0.25E-03     0.08s       4.72s       1.49h   
      0.0186  0.52E-03  C  11 V1=0.29E-03     0.08s       4.79s       1.47h   
      0.0191  0.52E-03  C  11 V1=0.33E-03     0.08s       4.87s       1.45h   
      0.0197  0.52E-03  C  11 V1=0.32E-03     0.08s       4.94s       1.43h   
      0.0202  0.57E-03  C  11 V1=0.32E-03     0.08s       5.02s       1.42h   
      0.0207  0.57E-03  C  12 V1=0.23E-03     0.08s       5.10s       1.40h   
      0.0213  0.57E-03  C  12 V1=0.23E-03     0.08s       5.19s       1.39h   
      0.0219  0.57E-03  C  12 V1=0.23E-03     0.16s       5.35s       1.39h   
      0.0225  0.57E-03  C  12 V1=0.23E-03     0.08s       5.44s       1.38h   
      0.0230  0.57E-03  C  12 V1=0.23E-03     0.08s       5.52s       1.36h   
      0.0237  0.64E-03  C  12 V1=0.22E-03     0.08s       5.60s       1.35h   
      0.0243  0.64E-03  C  12 V1=0.27E-03     0.08s       5.68s       1.34h   
      0.0249  0.64E-03  C  12 V1=0.27E-03     0.08s       5.77s       1.32h   
      0.0255  0.64E-03  C  12 V1=0.27E-03     0.08s       5.85s       1.30h   
      0.0262  0.64E-03  C  12 V1=0.26E-03     0.08s       5.93s       1.29h   
      0.0268  0.64E-03  C  12 V1=0.26E-03     0.08s       6.01s       1.28h   
      0.0275  0.71E-03  C  12 V1=0.26E-03     0.08s       6.10s       1.26h   
      0.0281  0.71E-03  C  12 V1=0.31E-03     0.08s       6.18s       1.25h   
      0.0289  0.71E-03  C  12 V1=0.31E-03     0.08s       6.26s       1.23h   
      0.0296  0.71E-03  C  12 V1=0.31E-03     0.08s       6.34s       1.22h   
      0.0303  0.71E-03  C  12 V1=0.31E-03     0.08s       6.42s       1.21h   
      0.0310  0.71E-03  C  12 V1=0.30E-03     0.08s       6.50s       1.19h   
      0.0318  0.79E-03  C  12 V1=0.30E-03     0.08s       6.59s       1.18h   
      0.0325  0.79E-03  C  13 V1=0.22E-03     0.09s       6.68s       1.17h   
      0.0333  0.79E-03  C  13 V1=0.22E-03     0.09s       6.77s       1.16h   
      0.0340  0.79E-03  C  13 V1=0.21E-03     0.09s       6.85s       1.14h   
      0.0348  0.79E-03  C  13 V1=0.21E-03     0.09s       6.94s       1.13h   
      0.0356  0.79E-03  C  13 V1=0.21E-03     0.09s       7.03s       1.12h   
      0.0365  0.87E-03  C  13 V1=0.21E-03     0.09s       7.12s       1.11h   
      0.0373  0.87E-03  C  13 V1=0.25E-03     0.09s       7.21s       1.10h   
      0.0382  0.87E-03  C  13 V1=0.25E-03     0.09s       7.30s       1.09h   
      0.0390  0.87E-03  C  13 U1=0.25E-03     0.09s       7.39s       1.07h   
      0.0399  0.87E-03  C  13 U1=0.25E-03     0.09s       7.48s       1.06h   
      0.0408  0.87E-03  C  13 U1=0.26E-03     0.09s       7.57s       1.05h   
